y,c,k,a,h,b,AUX_ENDO_LEAD_43
0.0,0.0,0.0,6.89953716289837e-310,0.0,6.8995371627387e-310,0.0
0.8733215130425983,0.4327325633447958,0.4416444219175979,-0.004438241627334121,0.3704204495255793,0.0038091298772409397,-5.859164000902149
0.8582376497767641,0.44037284468452803,0.8503559331559778,-0.01772291110266032,0.36357427787703034,0.006813006384572597,0.5030015931263634
0.8493001700990708,0.4547000661614993,1.221125739848441,-0.022564768418975804,0.3559596765449473,-0.009280009700255352,1.0228906905414696
0.8610844565381006,0.4692724753659594,1.579018258995962,-0.01907609743931201,0.35385039659306217,-0.01223904569684408,1.2411576482835738
0.8732137068787124,0.48094220468669097,1.9299181558192853,-0.017366014433169718,0.35288810953837435,-0.0068430767457638006,1.5446145483916496
0.8835960937973864,0.4941664808837998,2.2687487891116564,-0.01477265036549874,0.3508898129612837,-0.008484697338415701,1.950538356508222
0.8944294811403448,0.5098042386501938,2.591525085885431,-0.009714879384081235,0.3481370240546141,-0.018514648442326004,2.3474423130277913
0.9129126034780302,0.5213212905696012,2.9154216975779796,-0.004869183335079467,0.34894554979593345,-0.010489634798567817,2.5267040227762223
0.9089394116679872,0.5262280070333315,3.225209280031393,-0.012805213436293608,0.3460914336689644,-0.00013814907244602895,2.9112340172209485
0.9329010877122696,0.5395819948273901,3.5394101475569624,-0.0042496282866163505,0.34771209991201024,0.005456732602351704,3.1595095782438793
0.9226780221054907,0.548442180197861,3.824365186228813,-0.0108040760735577,0.34173531331080353,-0.0028710860323169825,3.6841141574040703
0.9267997499083875,0.5567370417698223,4.09880801521118,-0.012080266758057612,0.3398364989215113,-3.8794240783605275e-5,3.849206450665341
0.9249924854118723,0.5649418405678374,4.355603514660475,-0.015061827266868421,0.33636970872681127,-0.002832814971823832,4.183196276573225
0.9095854675157635,0.561772434430496,4.599393445034315,-0.031059269044806315,0.3333609132534008,0.017564629573997553,4.331457707548334
0.9099878089910645,0.5721272321574036,4.824212168530496,-0.030596830764588096,0.3297100700396706,0.0070120971934465905,4.729358613016561
0.9207987690229384,0.5831840362153733,5.04156074799622,-0.025491757249389145,0.3286144104572942,0.0012239732064908216,4.890715891606325
0.9529712203640568,0.5982885142138179,5.270140193561081,-0.009804387210251642,0.33181623170848135,-0.00023184474279203538,5.009552610558606
0.9416510998649948,0.6065215400827254,5.469297923412264,-0.014442754892480009,0.3257709683697823,-0.015223658035474388,5.477924048819161
